ledger_id,txn_id,amount_inr,settled_at
LDG0001,TXN0001,61286.41,2026-08-25T20:00:00
LDG0002,TXN0002,24397.39,2026-08-26T00:00:00
LDG0003,TXN0003,64771.40,2026-08-26T09:00:00
LDG0004,TXN0004,56711.05,2026-08-27T05:00:00
LDG0005,TXN0005,10260.50,2026-08-26T17:00:00
LDG0006,TXN0006,53976.41,2026-08-27T09:00:00
LDG0007,TXN0007,21861.20,2026-08-27T12:00:00
LDG0008,TXN0008,77181.75,2026-08-27T12:00:00
LDG0009,TXN0010,16037.33,2026-08-28T01:00:00
LDG0010,TXN0011,10171.74,2026-08-29T19:00:00
LDG0011,TXN0012,80740.72,2026-08-28T18:00:00
LDG0012,TXN0013,76966.49,2026-08-29T04:00:00
LDG0013,TXN0014,52837.33,2026-08-29T02:00:00
LDG0014,TXN0015,53115.80,2026-08-29T14:00:00
LDG0015,TXN0016,55482.43,2026-08-29T16:00:00
LDG0016,TXN0017,5784.58,2026-08-29T21:00:00
LDG0017,TXN0019,37041.80,2026-08-30T12:00:00
LDG0018,TXN0020,16708.16,2026-08-30T15:00:00
LDG0019,TXN0021,64160.88,2026-08-30T22:00:00
LDG0020,TXN0022,58453.75,2026-08-31T02:00:00
LDG0021,TXN0023,16778.13,2026-08-31T11:00:00
LDG0022,TXN0024,94020.43,2026-08-31T18:00:00
LDG0023,TXN0025,65511.43,2026-08-31T19:00:00
LDG0024,TXN0025,65511.43,2026-08-31T20:30:00
LDG0025,TXN0026,78338.54,2026-09-01T06:00:00
LDG0026,TXN0027,26533.77,2026-09-01T10:00:00
LDG0027,TXN0028,21380.58,2026-09-05T06:00:00
LDG0028,TXN0029,84217.87,2026-09-02T04:00:00
LDG0029,TXN0030,14858.49,2026-09-02T02:00:00
LDG0030,TXN0031,71156.47,2026-09-02T12:00:00
LDG0031,TXN0033,35346.67,2026-09-03T00:00:00
LDG0032,TXN0034,10000.03,2026-09-02T23:00:00
LDG0033,TXN0035,15790.66,2026-09-03T11:00:00
LDG0034,TXN0036,57264.24,2026-09-03T19:00:00
LDG0035,TXN0036,57264.24,2026-09-03T20:30:00
LDG0036,TXN0037,57215.57,2026-09-03T23:00:00
LDG0037,TXN0038,92295.83,2026-09-03T23:00:00
LDG0038,TXN0039,65239.92,2026-09-04T12:00:00
LDG0039,TXN0040,73363.98,2026-09-04T13:00:00
LDG0040,TXN9001,4820.00,2026-08-27T13:00:00
