txn_id,merchant_id,merchant_name,amount_inr,expected_settlement_at,status
TXN0001,MER02,Blinkit Sellers Co,61286.41,2026-08-25T15:00:00,settled
TXN0002,MER03,Urban Threads Retail,24397.39,2026-08-25T22:00:00,settled
TXN0003,MER04,Nimbus Books,64771.40,2026-08-26T07:00:00,settled
TXN0004,MER05,Kettle & Co,56711.05,2026-08-26T09:00:00,settled
TXN0005,MER06,Peak Cycles,10260.50,2026-08-26T16:00:00,settled
TXN0006,MER01,Chai Point Foods,53976.41,2026-08-27T02:00:00,settled
TXN0007,MER02,Blinkit Sellers Co,22111.20,2026-08-27T07:00:00,settled
TXN0008,MER03,Urban Threads Retail,77181.75,2026-08-27T09:00:00,settled
TXN0009,MER04,Nimbus Books,66776.03,2026-08-27T17:00:00,settled
TXN0010,MER05,Kettle & Co,16037.33,2026-08-27T23:00:00,settled
TXN0011,MER06,Peak Cycles,10171.74,2026-08-28T03:00:00,settled
TXN0012,MER01,Chai Point Foods,80740.72,2026-08-28T13:00:00,settled
TXN0013,MER02,Blinkit Sellers Co,76966.49,2026-08-28T20:00:00,settled
TXN0014,MER03,Urban Threads Retail,51637.33,2026-08-29T00:00:00,settled
TXN0015,MER04,Nimbus Books,53115.80,2026-08-29T08:00:00,settled
TXN0016,MER05,Kettle & Co,55482.43,2026-08-29T14:00:00,settled
TXN0017,MER06,Peak Cycles,5784.58,2026-08-29T16:00:00,settled
TXN0018,MER01,Chai Point Foods,93618.21,2026-08-29T22:00:00,settled
TXN0019,MER02,Blinkit Sellers Co,37041.80,2026-08-30T06:00:00,settled
TXN0020,MER03,Urban Threads Retail,16708.16,2026-08-30T11:00:00,settled
TXN0021,MER04,Nimbus Books,64161.38,2026-08-30T20:00:00,settled
TXN0022,MER05,Kettle & Co,58453.75,2026-08-30T22:00:00,settled
TXN0023,MER06,Peak Cycles,16778.13,2026-08-31T06:00:00,settled
TXN0024,MER01,Chai Point Foods,94020.43,2026-08-31T14:00:00,settled
TXN0025,MER02,Blinkit Sellers Co,65511.43,2026-08-31T15:00:00,settled
TXN0026,MER03,Urban Threads Retail,78338.54,2026-08-31T23:00:00,settled
TXN0027,MER04,Nimbus Books,26533.77,2026-09-01T04:00:00,settled
TXN0028,MER05,Kettle & Co,21380.58,2026-09-01T12:00:00,settled
TXN0029,MER06,Peak Cycles,84217.87,2026-09-01T20:00:00,settled
TXN0030,MER01,Chai Point Foods,14858.49,2026-09-01T22:00:00,settled
TXN0031,MER02,Blinkit Sellers Co,71156.47,2026-09-02T07:00:00,settled
TXN0032,MER03,Urban Threads Retail,71345.79,2026-09-02T12:00:00,settled
TXN0033,MER04,Nimbus Books,35346.67,2026-09-02T16:00:00,settled
TXN0034,MER05,Kettle & Co,10000.03,2026-09-02T21:00:00,settled
TXN0035,MER06,Peak Cycles,15790.66,2026-09-03T04:00:00,settled
TXN0036,MER01,Chai Point Foods,57264.24,2026-09-03T12:00:00,settled
TXN0037,MER02,Blinkit Sellers Co,57215.57,2026-09-03T18:00:00,settled
TXN0038,MER03,Urban Threads Retail,92295.83,2026-09-03T21:00:00,settled
TXN0039,MER04,Nimbus Books,65239.92,2026-09-04T07:00:00,settled
TXN0040,MER05,Kettle & Co,73363.98,2026-09-04T11:00:00,settled
